Gene	WC1_INPUT	WC1_IP	WC2_INPUT	WC2_IP	WC3_INPUT	WC3_IP
Mri1	3.003	3.334	3.477	3.639	2.775	0.979
Mrm1	4.469	7.232	7.625	6.158	7.655	6.413
Mro	4.912	4.052	4.352	8.244	4.756	7.724
Mrp63	25.248	10.891	27.572	23.694	20.205	17.544
Mrpl1	12.586	11.24	10.542	8.191	10.836	8.785
Mrpl10	51.451	29.667	53.85	42.057	33.829	31.793
Mrpl11	31.495	17.469	33.213	41.359	17.067	29.373
Mrpl12	84.591	52.06	93.838	132.093	48.114	65.295
Mrpl13	61.904	39.277	75.673	100.103	39.583	72.464
Mrpl14	61.387	26.103	57.478	56.033	27.839	34.233
Mrpl15	16.665	10.396	16.061	19.584	11.158	13.079
Mrpl16	44.778	30.963	53.797	46.378	31.76	36.555
Mrpl17	13.889	12.318	14.035	16.24	11.265	13.999
Mrpl18	87.58	33.235	96.291	117.94	75.396	111.57
Mrpl19	10.652	8.146	13.011	10.904	13.885	6.563
Mrpl2	23.843	16.194	27.242	40.521	18.629	19.939
Mrpl20	119.321	72.501	140.655	223.224	60.305	154.799
Mrpl21	41.698	24.493	50.006	61.671	19.499	40.489
Mrpl22	41.075	33.554	31.991	43.019	14.647	16.798
Mrpl23	121.189	53.781	92.363	101.107	39.227	68.767
Mrpl24	41.074	29.327	36.44	61.001	22.318	50.674
Mrpl27	108.768	57.916	128.299	106.834	82.372	65.474
Mrpl28	33.425	31.045	41.249	64.096	23.739	30.368
Mrpl3	37.929	32.954	35.392	46.002	28.614	54.931
Mrpl30	143.803	72.393	126.872	214.704	73.018	177.692
Mrpl32	35.648	23.697	28.631	38.853	19.439	25.404
Mrpl33	103.702	46.006	94.27	134.324	48.29	98.578
Mrpl34	60.03	24.558	60.324	71.995	33.232	62.028
Mrpl35	24.075	15.303	24.808	15.537	22.723	13.329
Mrpl36	60.337	21.074	59.331	55.997	40.835	58.068
Mrpl37	29.334	22.133	26.591	29.194	21.125	33.991
Mrpl38	25.369	24.04	21.06	18.844	17.454	20.048
Mrpl39	53.522	38.141	50.667	55.214	37.261	34.431
Mrpl4	34.816	40.287	43.405	62.14	38.044	66.909
Mrpl40	36.403	17.661	39.141	41.35	25.054	31.793
Mrpl41	60.409	42.206	70.289	94.996	37.32	61.438
Mrpl42	130.688	43.421	139.226	161.316	71.668	119.47
Mrpl43	47.32	25.197	56.651	49.095	35.534	41.04
Mrpl44	18.062	13.182	20.868	18.437	15.076	9.983
Mrpl45	22.714	13.333	19.695	16.097	15.942	11.946
Mrpl46	37.3	21.853	34.209	51.192	18.48	25.682
Mrpl47	24.783	16.609	37.196	39.38	19.37	30.306
Mrpl48	68.739	40.146	63.463	88.63	37.629	56.366
Mrpl49	38.987	20.222	43.623	33.006	35.216	29.72
Mrpl50	34.138	22.813	39.283	43.597	24.899	27.804
Mrpl51	51.821	29.094	52.441	69.222	31.558	47.046
Mrpl52	166.206	57.818	148.535	201.089	51.975	116.477
Mrpl53	51	23.514	81.163	93.297	30.847	76.631
Mrpl54	34.105	21.102	34.209	75.681	14.202	39.82
Mrpl55	34.25	23.271	40.543	65.717	18.791	47.458
Mrpl9	64.219	29.785	64.072	35.882	47.755	32.513
Mrps10	49.196	21.524	40.475	41.577	25.508	33.989
Mrps11	25.423	13.795	25.564	31.885	14.314	26.984
Mrps12	128.896	67.214	131.239	159.995	63.33	141.921
Mrps14	66.895	30.157	81.595	59.994	55.206	53.393
Mrps15	61.13	32.76	60.817	58.469	35.725	41.447
Mrps16	100.723	45.958	87.474	104.701	35.234	56.299
Mrps17	33.533	20.236	39.602	53.243	26.15	36.415
Mrps18a	70.97	42.679	71.933	84.699	39.793	62.94
Mrps18b	24.174	18.143	26.046	21.055	15.782	22.877
Mrps18c	92.039	34.899	90.246	81.854	38.532	40.1
Mrps2	27.748	24.336	27.439	25.418	24.107	27.924
Mrps21	189.561	58.342	184.956	240.447	81.405	206.418
Mrps22	34.889	36.28	31.772	36.945	18.64	23.302
Mrps23	44.906	22.43	47.112	44.683	28.248	27.881
Mrps24	35.001	11.408	37.948	45.222	22.098	28.526
Mrps25	17.891	9.131	18.829	15.563	10.687	12.444
Mrps26	52.921	30.853	65.051	84.302	38.911	42
Mrps27	11.335	12.194	16.828	15.56	18.221	11.642
Mrps28	38.103	22.633	46.046	60.953	24.753	43.143
Mrps30	12.174	13.394	13.229	15.359	9.732	9.84
Mrps31	24.643	24.782	28.227	26.698	26.038	23.23
Mrps33	112.998	45.195	128.761	97.898	74.899	94.48
Mrps34	29.421	24.854	34.487	56.091	16.849	33.269
Mrps35	17.52	12.189	27.76	26.09	13.022	16.407
Mrps36	142.702	48.381	111.203	129.243	63.202	100.165
Mrps5	20.895	17.542	25.312	24.063	19.986	23.252
Mrps6	64.389	38.515	84.152	96.07	42.114	60.815
Mrps7	41.656	32.565	46.329	55.524	25.392	49.612
